date	Feb 2014	Jan 2014	Dec 2013	Nov 2013	Oct 2013	Sep 2013	Aug 2013	Jul 2013	Jun 2013	May 2013	Apr 2013	Mar 2013	Feb 2013	Jan 2013	Dec 2012	Nov 2012	Oct 2012	Sep 2012	Aug 2012	Jul 2012	May 2012	Apr 2012	Mar 2012
0	0	12	2	3	4	5	1	7	4	3	8	9	21	3	0	3	1	2	1	0	12	7	0
1	1	8	3	1	4	1	5	8	7	1	5	18	29	9	0	0	2	1	0	0	5	11	0
2	4	7	2	1	0	1	5	9	0	6	8	8	8	0	0	0	2	0	0	0	0	0	0
3	0	1	0	0	0	4	0	7	4	5	17	2	10	0	0	0	0	0	0	0	0	0	0
4	0	2	3	7	2	2	2	0	1	0	1	0	4	0	0	0	0	0	0	0	0	1	0
5	0	1	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	3	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0
7	0	0	0	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	3	2	1	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
9	1	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	3	4	0	2	0	0	0
10	0	2	0	0	3	0	4	3	0	0	0	0	2	0	0	0	1	1	0	0	0	2	0
11	0	5	0	0	0	0	0	9	1	2	6	2	10	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	1	2	2	0	10	3	0	1	3	1	0	0	1	0	0	0	1	7	0
13	0	3	4	1	1	5	3	1	9	3	2	1	8	0	0	0	1	0	0	0	7	4	0
14	0	4	4	2	0	4	1	2	0	0	0	9	4	0	0	0	1	0	0	0	14	7	0
15	2	5	0	0	1	2	0	4	1	2	1	14	7	1	0	0	3	0	0	0	11	11	0
16	0	3	2	1	2	0	0	3	0	1	1	2	2	0	0	0	0	0	2	0	13	21	0
17	0	0	1	2	1	1	4	5	2	5	1	0	0	2	0	0	0	0	0	0	10	8	2
18	0	1	0	1	0	5	0	0	3	0	1	9	3	4	1	1	2	1	3	0	11	5	0
19	0	1	0	0	1	4	2	0	2	3	3	1	4	0	1	1	0	0	1	0	11	6	0
20	0	1	1	0	3	3	0	1	3	6	6	4	1	0	0	0	1	1	0	0	6	8	0
21	1	0	1	0	0	2	0	3	1	1	0	1	4	0	0	1	0	3	0	0	11	7	0
22	1	4	0	0	1	1	1	3	0	0	6	7	14	2	0	1	1	9	6	0	10	5	0
23	0	3	2	1	1	0	3	7	8	1	8	9	10	16	0	0	4	1	5	0	12	8	0
